participant,ExpeDuration,framerate,Trial_number,experiment,intention,condition,explicability,MapConfiguration,Strategie,TargetAIchoice,TargetUserchoice,ConflictLevel,Obstacle,delayIB,IBestimUser,IB,IB_zscore,SoARatings,SoARatings_zscore,Correlation,Score_trial
5630b79b733ea00011164946,57.7502716666667,60.0,67,1,1.0,3,1.0,4,2,4.0,4.0,2.0,0,250,181,-69,-0.0207481716874822,5,0.412470392085585,0.859846752333906,206.5
5630b79b733ea00011164946,57.7502716666667,60.0,68,1,1.0,1,0.0,1,2,1.0,4.0,1.0,0,750,581,-169,-0.494992095972791,3,-1.11049720946119,0.859846752333906,210.5
5630b79b733ea00011164946,57.7502716666667,60.0,69,1,1.0,2,1.0,5,1,3.0,2.0,0.0,0,750,701,-49,0.0741006131695794,4,-0.349013408687803,0.859846752333906,213.0
5630b79b733ea00011164946,57.7502716666667,60.0,70,1,1.0,1,0.0,5,1,3.0,4.0,1.0,0,250,371,121,0.880315284454604,5,0.412470392085585,0.859846752333906,215.5
5630b79b733ea00011164946,57.7502716666667,60.0,71,1,1.0,4,1.0,6,2,3.0,4.0,1.0,0,250,281,31,0.453495752597826,4,-0.349013408687803,0.859846752333906,219.5
5630b79b733ea00011164946,57.7502716666667,60.0,72,1,1.0,2,1.0,1,1,2.0,4.0,0.0,0,1250,1141,-109,-0.210445741401606,4,-0.349013408687803,0.859846752333906,222.0
5630b79b733ea00011164946,57.7502716666667,60.0,73,1,1.0,3,1.0,4,2,2.0,2.0,2.0,0,750,551,-199,-0.637265273258383,6,1.17395419285897,0.859846752333906,226.0
5630b79b733ea00011164946,57.7502716666667,60.0,74,1,1.0,4,1.0,1,2,4.0,4.0,2.0,0,1250,1091,-159,-0.44756770354426,6,1.17395419285897,0.859846752333906,230.0
5630b79b733ea00011164946,57.7502716666667,60.0,75,1,1.0,1,0.0,6,1,2.0,1.0,1.0,0,1250,1251,1,0.311222575312234,3,-1.11049720946119,0.859846752333906,232.5
5630b79b733ea00011164946,57.7502716666667,60.0,78,1,1.0,3,1.0,4,2,2.0,4.0,1.0,0,1250,831,-419,-1.68060190668606,3,-1.11049720946119,0.859846752333906,237.0
5630b79b733ea00011164946,57.7502716666667,60.0,79,1,1.0,2,1.0,2,1,4.0,4.0,2.0,0,250,471,221,1.35455920873991,4,-0.349013408687803,0.859846752333906,239.5
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,1,0,,0,,2,1,,4.0,,0,750,722,-28,-0.581200480366233,4,-1.88332513928077,0.94075067430186,0.5
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,2,0,,0,,4,2,,2.0,,0,250,416,166,0.861267236363608,4,-1.88332513928077,0.94075067430186,4.5
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,3,0,,0,,1,2,,4.0,,0,750,617,-133,-1.36191754354475,6,-0.144871164560059,0.94075067430186,8.5
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,5,0,,0,,5,1,,3.0,,0,250,291,41,-0.0681578388489186,6,-0.144871164560059,0.94075067430186,9.0
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,7,0,,0,,4,1,,3.0,,0,750,534,-216,-1.97905579348587,7,0.724355822800294,0.94075067430186,9.5
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,10,0,,0,,1,1,,3.0,,0,1250,1394,144,0.697688423126203,7,0.724355822800294,0.94075067430186,18.5
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,11,0,,0,,3,2,,1.0,,0,1250,1299,49,-0.0086746340353168,7,0.724355822800294,0.94075067430186,22.5
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,13,0,,0,,5,2,,1.0,,0,750,645,-105,-1.15372632669715,6,-0.144871164560059,0.94075067430186,29.0
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,14,0,,0,,2,1,,1.0,,0,250,394,144,0.697688423126203,6,-0.144871164560059,0.94075067430186,31.5
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,16,0,,0,,6,1,,2.0,,0,750,917,167,0.868702636965308,7,0.724355822800294,0.94075067430186,38.0
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,18,0,,0,,5,1,,4.0,,0,250,560,310,1.93196492300844,4,-1.88332513928077,0.94075067430186,44.5
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,20,0,,0,,4,2,,2.0,,0,250,205,-45,-0.707602290595136,7,0.724355822800294,0.94075067430186,46.5
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,21,0,,0,,1,1,,3.0,,0,250,229,-21,-0.529152676154331,6,-0.144871164560059,0.94075067430186,49.0
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,22,0,,0,,3,2,,3.0,,0,1250,1159,-91,-1.04963071827335,7,0.724355822800294,0.94075067430186,53.0
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,23,0,,0,,6,1,,1.0,,0,1250,1354,104,0.400272399058195,8,1.59358281016065,0.94075067430186,55.5
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,24,0,,0,,2,2,,2.0,,0,750,892,142,0.682817621922803,7,0.724355822800294,0.94075067430186,59.5
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,26,0,,0,,5,1,,4.0,,0,250,386,136,0.638205218312601,6,-0.144871164560059,0.94075067430186,66.0
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,28,0,,0,,3,1,,2.0,,0,750,889,139,0.660511420117702,6,-0.144871164560059,0.94075067430186,72.5
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,1,1,0.0,1,0.0,2,2,2.0,,,0,750,410,-340,-1.45610234730581,6,3.4667666765433,0.83360277581389,4.0
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,2,1,0.0,1,0.0,5,2,1.0,,,0,250,112,-138,-0.565465938052899,4,0.105053535652827,0.83360277581389,8.0
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,3,1,0.0,2,1.0,1,2,4.0,,,0,250,220,-30,-0.0892840954820368,4,0.105053535652827,0.83360277581389,12.0
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,4,1,0.0,4,1.0,3,2,1.0,,,0,250,333,83,0.408943202763403,4,0.105053535652827,0.83360277581389,16.0
573c6b96b3a71f00146df8c4,42.7531116666667,60.0,5,1,0.0,1,0.0,6,1,2.0,,,0,250,398,148,0.695534126532904,5,1.78591010609806,0.83360277581389,18.5
